"m";"task";"participant";"angularShift"
"may";"month";"Sa4";" 50.11568608"
"jun";"month";"Sa4";" 50.36041043"
"jul";"month";"Sa4";" 50.05055318"
"aug";"month";"Sa4";" 49.06518930"
"sep";"month";"Sa4";" 41.93952728"
"oct";"month";"Sa4";" 45.41533676"
"nov";"month";"Sa4";" 46.39937859"
"dec";"month";"Sa4";" 40.03154314"
"jan";"month";"Sa5";"  9.80580709"
"feb";"month";"Sa5";" 20.54183617"
"mar";"month";"Sa5";" 12.15045208"
"apr";"month";"Sa5";" 16.96778765"
"may";"month";"Sa5";" 18.95407562"
"jun";"month";"Sa5";" 13.95810204"
"jul";"month";"Sa5";" 18.44999081"
"aug";"month";"Sa5";" 25.27589560"
"sep";"month";"Sa5";" 20.24401585"
"oct";"month";"Sa5";" 17.51906905"
"nov";"month";"Sa5";" 15.84184250"
"dec";"month";"Sa5";" 16.28226048"
"jan";"month";"Sa6";" 11.57606853"
"feb";"month";"Sa6";"  2.77022665"
"mar";"month";"Sa6";"  1.77843871"
"apr";"month";"Sa6";"  2.46730938"
"may";"month";"Sa6";"  4.93649574"
"jun";"month";"Sa6";"  2.70263615"
"jul";"month";"Sa6";"  6.29516237"
"aug";"month";"Sa6";"  8.73811495"
"sep";"month";"Sa6";"  2.18430437"
"oct";"month";"Sa6";" 10.27653239"
"nov";"month";"Sa6";"  1.19603405"
"dec";"month";"Sa6";"  1.56065459"
"jan";"crazy";"Sa6";" 49.61074492"
"feb";"crazy";"Sa6";" 60.19110287"
"mar";"crazy";"Sa6";" 46.02992793"
"apr";"crazy";"Sa6";" 48.33064034"
"may";"crazy";"Sa6";" 66.68699680"
"jun";"crazy";"Sa6";" 48.91492954"
"jul";"crazy";"Sa6";" 57.92966552"
"aug";"crazy";"Sa6";" 45.69003340"
"sep";"crazy";"Sa6";" 43.93157514"
"oct";"crazy";"Sa6";" 44.66919195"
"nov";"crazy";"Sa6";" 46.99122371"
"dec";"crazy";"Sa6";" 48.03837231"
"jan";"month";"Sa7";" 53.66814536"
"feb";"month";"Sa7";" 53.02126828"
"mar";"month";"Sa7";" 57.46462232"
"apr";"month";"Sa7";" 55.32046595"
"may";"month";"Sa7";" 61.49788526"
"jun";"month";"Sa7";" 53.70890807"
"jul";"month";"Sa7";" 49.27495167"
"aug";"month";"Sa7";" 38.38352744"
"sep";"month";"Sa7";" 42.89119298"
"oct";"month";"Sa7";" 34.49754995"
"nov";"month";"Sa7";" 37.60453234"
"dec";"month";"Sa7";" 49.15993766"
"jan";"crazy";"Sa7";" 51.10637328"
"feb";"crazy";"Sa7";" 51.21412629"
"mar";"crazy";"Sa7";" 52.34233814"
"apr";"crazy";"Sa7";" 55.81613824"
"may";"crazy";"Sa7";" 48.40576035"
"jun";"crazy";"Sa7";" 48.34365334"
"jul";"crazy";"Sa7";" 48.65702026"
"aug";"crazy";"Sa7";" 53.36107138"
"sep";"crazy";"Sa7";" 54.08700848"
"oct";"crazy";"Sa7";" 49.35646173"
"nov";"crazy";"Sa7";" 50.85242096"
"dec";"crazy";"Sa7";" 50.00628327"
"jan";"month";"Sa9";"  1.52634177"
"feb";"month";"Sa9";"  3.10604409"
"mar";"month";"Sa9";"  0.85565492"
"apr";"month";"Sa9";"  0.58286566"
"may";"month";"Sa9";"  5.02054607"
"jun";"month";"Sa9";"  2.75236951"
"jul";"month";"Sa9";"  0.95703765"
"aug";"month";"Sa9";" 13.34369785"
"sep";"month";"Sa9";" 10.06421420"
"oct";"month";"Sa9";"  9.42848194"
"nov";"month";"Sa9";"  7.66881625"
"dec";"month";"Sa9";" 10.99849946"
"jan";"crazy";"Sa9";" 38.37867754"
"feb";"crazy";"Sa9";" 43.40046032"
"mar";"crazy";"Sa9";" 30.45640450"
"apr";"crazy";"Sa9";" 11.17251006"
"may";"crazy";"Sa9";" 24.66510125"
"jun";"crazy";"Sa9";" 30.12656852"
"jul";"crazy";"Sa9";" 25.90465008"
"aug";"crazy";"Sa9";" 37.52900215"
"sep";"crazy";"Sa9";" 27.23627902"
"oct";"crazy";"Sa9";" 33.80228098"
"nov";"crazy";"Sa9";" 38.13663917"
"dec";"crazy";"Sa9";" 27.04238035"
"jan";"month";"Sa11";"  4.53312368"
"feb";"month";"Sa11";"  7.44386846"
"mar";"month";"Sa11";"  1.88503006"
"apr";"month";"Sa11";"  4.47553502"
"may";"month";"Sa11";"  2.85437081"
"jun";"month";"Sa11";"  6.87877573"
"jul";"month";"Sa11";"  4.48876914"
"aug";"month";"Sa11";" 11.26514321"
"sep";"month";"Sa11";" 14.23284423"
"oct";"month";"Sa11";" 24.84569121"
"nov";"month";"Sa11";" 19.64318786"
"dec";"month";"Sa11";" 18.85020364"
"jan";"crazy";"Sa11";" 12.32115307"
"feb";"crazy";"Sa11";"  0.55041615"
"mar";"crazy";"Sa11";"  3.58162110"
"apr";"crazy";"Sa11";"  0.20032214"
"may";"crazy";"Sa11";" 15.49283167"
"jun";"crazy";"Sa11";"  9.07350304"
"jul";"crazy";"Sa11";" 16.11193931"
"aug";"crazy";"Sa11";"  3.03260177"
"sep";"crazy";"Sa11";"  1.20422738"
"oct";"crazy";"Sa11";"  3.02666657"
"nov";"crazy";"Sa11";"  7.65882477"
"dec";"crazy";"Sa11";"  8.75561120"
"jan";"month";"Sa14";"  4.02618458"
"feb";"month";"Sa14";"  7.35798314"
"mar";"month";"Sa14";" 65.89388780"
"apr";"month";"Sa14";" 20.25738359"
"may";"month";"Sa14";" 56.47635956"
"jun";"month";"Sa14";"  0.95880107"
"jul";"month";"Sa14";" 20.09759486"
"aug";"month";"Sa14";" 17.87103235"
"sep";"month";"Sa14";"  2.43109927"
"oct";"month";"Sa14";" 54.19790698"
"nov";"month";"Sa14";" 28.30717737"
"dec";"month";"Sa14";" 53.82989315"
"jan";"crazy";"Sa1";"  2.70951968"
"feb";"crazy";"Sa1";"  6.07759108"
"mar";"crazy";"Sa1";"  3.86033721"
"apr";"crazy";"Sa1";"  1.24224658"
"may";"crazy";"Sa1";"  3.99458495"
"jun";"crazy";"Sa1";"  7.77981880"
"jul";"crazy";"Sa1";"  8.03074123"
"aug";"crazy";"Sa1";"  5.12068626"
"sep";"crazy";"Sa1";"  1.41676810"
"oct";"crazy";"Sa1";"  5.77625710"
"nov";"crazy";"Sa1";"  7.28095325"
"dec";"crazy";"Sa1";" 11.19243324"
"jan";"crazy";"Sa13";" 67.40151637"
"feb";"crazy";"Sa13";" 65.09244826"
"mar";"crazy";"Sa13";" 64.36250101"
"apr";"crazy";"Sa13";" 59.92377735"
"may";"crazy";"Sa13";" 60.81515170"
"jun";"crazy";"Sa13";" 56.90950599"
"jul";"crazy";"Sa13";" 63.69149267"
"aug";"crazy";"Sa13";" 63.49517980"
"sep";"crazy";"Sa13";" 71.26710400"
"oct";"crazy";"Sa13";" 59.29891838"
"nov";"crazy";"Sa13";" 55.12368378"
"dec";"crazy";"Sa13";" 55.60205563"
"jan";"crazy";"Sa8";"  0.96413872"
"feb";"crazy";"Sa8";"  1.02253345"
"mar";"crazy";"Sa8";"  1.16074427"
"apr";"crazy";"Sa8";"  1.69071296"
"may";"crazy";"Sa8";"  2.19643569"
"jun";"crazy";"Sa8";"  0.95702099"
"jul";"crazy";"Sa8";"  4.59877437"
"aug";"crazy";"Sa8";"  2.79846398"
"sep";"crazy";"Sa8";"  2.02643727"
"oct";"crazy";"Sa8";"  6.54212646"
"nov";"crazy";"Sa8";"  4.46072398"
"dec";"crazy";"Sa8";"  2.76932765"
"jan";"month";"Sa20";"  0.65520029"
