"condition";"task";"participant";"z";"X";"y"
"str";"month";"Sa14";18.0816044505779;19.8024440007339;46.7107788836675
"tr";"month";"Sa14";22.5698036460307;25.2494859365347;29.2231750127344
"hd";"crazy";"Sa20";14.153807330256;14.048502688271;9.45419692615959
"str";"crazy";"Sa20";13.0698098640721;16.3014851244586;11.7368579229161
"tr";"crazy";"Sa20";21.2151418194101;7.38406727739642;9.84489395504522
"hd";"month";"Sa20";6.21410022862344;14.018594919762;7.73744741193435
"str";"month";"Sa20";11.9769667651621;6.57229939147357;7.9221996720765
"tr";"month";"Sa20";16.203934818648;17.8896466102877;13.2123812023326
"hd";"crazy";"Sa21";12.4492804715952;9.01161981935468;10.962494731043
"str";"crazy";"Sa21";8.31851846642953;9.11658748518365;10.5927640350148
"tr";"crazy";"Sa21";18.3884961809666;14.9282404283047;9.87717061171784
"hd";"month";"Sa21";8.61590622895241;6.66741342919604;5.14841816461799
"str";"month";"Sa21";10.8047746816385;8.58111866680876;2.87068591594213
"tr";"month";"Sa21";4.9826041131504;6.57135640993486;3.4076199237761
"hd";"crazy";"Sa22";44.9326279628312;32.5910993430977;16.9932683451067
"str";"crazy";"Sa22";17.8254715605334;15.3643483303969;12.6626555532369
"tr";"crazy";"Sa22";15.2542055599692;10.2599774695008;12.6439406853118
"hd";"month";"Sa22";16.5133697176779;15.1681729331881;18.4431426670107
"str";"month";"Sa22";19.6992579727702;42.8631222212642;72.0228415774315
"tr";"month";"Sa22";27.5419045252654;29.8980727003987;25.1803811731038
"hd";"crazy";"Sa23";12.7351648707146;14.9401693740595;9.6258962267811
"str";"crazy";"Sa23";13.3127718671528;11.821955844015;9.01217617378583
"tr";"crazy";"Sa23";10.5461016752534;13.9647097384064;16.4429115214554
"hd";"month";"Sa23";25.6360876195665;11.3189667575076;33.8997740438752
"str";"month";"Sa23";9.14524838290003;18.2706430517156;7.75705415069168
"tr";"month";"Sa23";11.1568858527336;14.2343954790313;11.2769949553654
"hd";"crazy";"Sa24";22.5049541303946;22.6380410694762;14.4125665731819
"str";"crazy";"Sa24";21.9911413059299;12.5430596279818;21.1240463000901
"tr";"crazy";"Sa24";23.9239188036749;27.3436345473604;18.1450207844734
"hd";"month";"Sa24";31.8935828668184;30.1345565693048;11.1702262579194
"str";"month";"Sa24";11.0152247751671;19.6890018014387;22.8290402690332
"tr";"month";"Sa24";20.1998325461942;27.5219746540512;20.0680934963621
"hd";"crazy";"Sa25";51.1964524340845;19.5108329834878;20.9907948365225
"str";"crazy";"Sa25";72.3206142836517;26.904514721537;23.5322834603577
