"m";"task";"participant";"angularShift"
"feb";"crazy";"Sa9";44.051209998
"mar";"crazy";"Sa9";30.783526842
"apr";"crazy";"Sa9";11.498179918
"may";"crazy";"Sa9";25.267140799
"jun";"crazy";"Sa9";29.320671506
"jul";"crazy";"Sa9";29.272677068
"aug";"crazy";"Sa9";36.940470463
"sep";"crazy";"Sa9";26.437975894
"oct";"crazy";"Sa9";33.019446579
"nov";"crazy";"Sa9";37.83038605
"dec";"crazy";"Sa9";27.274249172
"jan";"month";"Sa11";4.886391459
"feb";"month";"Sa11";7.739007851
"mar";"month";"Sa11";-1.805389065
"apr";"month";"Sa11";4.667921255
"may";"month";"Sa11";-3.205796609
"jun";"month";"Sa11";7.10550238
"jul";"month";"Sa11";4.728765269
"aug";"month";"Sa11";10.533353256
"sep";"month";"Sa11";13.617357635
"oct";"month";"Sa11";23.802167418
"nov";"month";"Sa11";18.749303493
"dec";"month";"Sa11";18.817721329
"jan";"crazy";"Sa11";-10.908282587
"feb";"crazy";"Sa11";0.650193811
"mar";"crazy";"Sa11";-3.089141178
"apr";"crazy";"Sa11";0.415868721
"may";"crazy";"Sa11";14.977899337
"jun";"crazy";"Sa11";9.04120926
"jul";"crazy";"Sa11";15.391575477
"aug";"crazy";"Sa11";3.386173417
"sep";"crazy";"Sa11";-1.236952307
"oct";"crazy";"Sa11";-3.070003337
"nov";"crazy";"Sa11";7.509805123
"dec";"crazy";"Sa11";8.631631588
"jan";"month";"Sa14";3.718967109
"feb";"month";"Sa14";-8.101095014
"mar";"month";"Sa14";69.017875435
"apr";"month";"Sa14";20.97677656
"may";"month";"Sa14";57.957564392
"jun";"month";"Sa14";-2.918303617
"jul";"month";"Sa14";-19.413990803
"aug";"month";"Sa14";-18.764646465
"sep";"month";"Sa14";3.309385308
"oct";"month";"Sa14";53.406311972
"nov";"month";"Sa14";-27.742484389
"dec";"month";"Sa14";51.517546283
"jan";"crazy";"Sa1";3.158030864
"feb";"crazy";"Sa1";-5.725183757
"mar";"crazy";"Sa1";3.914381712
"apr";"crazy";"Sa1";1.388796756
"may";"crazy";"Sa1";-3.981176301
"jun";"crazy";"Sa1";6.981197843
"jul";"crazy";"Sa1";-7.724405406
"aug";"crazy";"Sa1";5.182583849
"sep";"crazy";"Sa1";1.672200068
"oct";"crazy";"Sa1";-5.638332499
"nov";"crazy";"Sa1";-6.722562573
"dec";"crazy";"Sa1";-10.872763195
"jan";"crazy";"Sa13";69.162393572
"feb";"crazy";"Sa13";66.722045453
"mar";"crazy";"Sa13";65.739360945
"apr";"crazy";"Sa13";61.322348841
"may";"crazy";"Sa13";60.709118896
"jun";"crazy";"Sa13";56.586857925
"jul";"crazy";"Sa13";63.1052225
"aug";"crazy";"Sa13";65.044894183
"sep";"crazy";"Sa13";73.041574732
"oct";"crazy";"Sa13";60.596881555
"nov";"crazy";"Sa13";54.915266682
"dec";"crazy";"Sa13";55.553960254
"jan";"crazy";"Sa8";0.925299418
"feb";"crazy";"Sa8";0.763894279
"mar";"crazy";"Sa8";1.10380888
"apr";"crazy";"Sa8";1.832152855
"may";"crazy";"Sa8";2.372541395
"jun";"crazy";"Sa8";0.91740125
"jul";"crazy";"Sa8";-4.377069735
"aug";"crazy";"Sa8";-2.601050085
"sep";"crazy";"Sa8";-2.074829426
"oct";"crazy";"Sa8";-6.606159092
"nov";"crazy";"Sa8";4.509152555
"dec";"crazy";"Sa8";2.784935254
"jan";"month";"Sa20";0.4606596
"feb";"month";"Sa20";2.714693443
"mar";"month";"Sa20";-2.905624811
"apr";"month";"Sa20";2.823221047
"may";"month";"Sa20";6.03453071
