"participant";"axis";"task";"statistic";"pvalue";"cohenD";"estimate"
"Sa11";"X";"crazy";0.860839565703877;"0.4076987";0.248502977494107;5.24333890972223
"Sa1";"X";"crazy";2.4809503631065;"0.03052216";0.71618867999282;46.6059821875
"Sa13";"X";"crazy";-36.4485648805117;"0.0000000000007986928";10.5217943726695;-442.265716751389
"Sa8";"X";"crazy";-6.58638182810082;"0.00003935863";1.90132466071983;-65.17010730625
"Sa20";"X";"crazy";13.980681907311;"0.00000002384959";4.03587523132027;123.762901641667
"Sa21";"X";"crazy";-53.6548893571292;"0.00000000000001161276";15.4888324068391;-167.491768702083
"Sa22";"X";"crazy";-12.6516471356929;"0.00000006742693";3.65221593974224;-151.30349003125
"Sa23";"X";"crazy";-13.0897275677062;"0.00000004737747";3.77867886741703;-55.8713615791667
"Sa24";"X";"crazy";10.8960719692653;"0.0000003116151";3.14542504228244;116.68696165
"Sa25";"X";"crazy";3.94157878515217;"0.002305775";1.13783578631986;262.043643041667
"Co1";"y";"crazy";-1.08419913030632;"0.3014679";0.312981329868755;-39.4376432638889
"Co2";"y";"crazy";3.10651329254188;"0.009987398";0.896773142845103;16.7763621652778
"Co3";"y";"crazy";8.14683443675024;"0.000005492551";2.35178852755053;39.32982525
"Co4";"y";"crazy";2.05479793482891;"0.06444072";0.593169070401878;10.9542763916667
"Co5";"y";"crazy";-0.443662637362998;"0.6658867";0.128074371555453;-1.6270001875
"Co6";"y";"crazy";-0.748021498156445;"0.4701377";0.215935206660125;-6.83386285902778
"Co7";"y";"crazy";0.440263418499284;"0.6682723";0.127093101592453;5.61971175625
"Co8";"y";"crazy";13.5093148396324;"0.000000034119";3.89980327961459;83.5584649166667
"Co9";"y";"crazy";5.66744567017328;"0.0001450128";1.63605064164606;22.8570098055556
"Co10";"y";"crazy";0.501399286398711;"0.6259728";0.144741506486891;4.57049810416667
"Sa6";"y";"crazy";1.56361835110241;"0.146201";0.451377737959408;16.1670640625
"Sa7";"y";"crazy";-1.24104583706849;"0.2404039";0.358259074054077;-17.4214177222222
"Sa9";"y";"crazy";2.14991168943878;"0.05465534";0.620626046315702;17.8605887708333
"Sa11";"y";"crazy";4.08534143715268;"0.001803751";1.17933648923582;23.3797923340278
"Sa1";"y";"crazy";1.50931491734414;"0.1593944";0.435701686910279;13.5467022291667
"Sa13";"y";"crazy";2.92146537106755;"0.013901";0.843354409207011;47.5063726763889
"Sa8";"y";"crazy";0.583011626416485;"0.571644";0.16830095972612;4.80223008333333
"Sa20";"y";"crazy";-0.953984302650397;"0.3605857";0.275391546968942;-7.29063815
"Sa21";"y";"crazy";-3.83562423053596;"0.00276737";1.10724934100509;-10.800800625
"Sa22";"y";"crazy";0.42745763333088;"0.6772937";0.123396389835372;4.34219789583334
"Sa23";"y";"crazy";2.83528292887478;"0.01621815";0.818475681107301;18.5702457708333
"Sa24";"y";"crazy";-1.39221980395945;"0.1913608";0.401899239293559;-8.76409256041667
"Sa25";"y";"crazy";-5.01134725034337;"0.0003953945";1.44665134199422;-37.2997074805556
