"m";"condition";"task";"participant";"z";"X";"y"
"aug";"str";"month";"Co3";1529;293.58005;183.338135
"dec";"str";"month";"Co3";1889;259.17326;170.973075
"feb";"str";"month";"Co3";1772.5;-262.93826;114.647745
"jan";"str";"month";"Co3";1853;-269.2528;114.79187
"jul";"str";"month";"Co3";1468.5;60.925719;216.809775
"jun";"str";"month";"Co3";1486;-34.854885;185.88237
"mar";"str";"month";"Co3";1615.5;-258.79024;169.254625
"may";"str";"month";"Co3";1472;-157.758785;191.72797
"nov";"str";"month";"Co3";1829.5;283.65157;157.34457
"oct";"str";"month";"Co3";1795;303.965315;160.735405
"sep";"str";"month";"Co3";1585;274.151085;175.688125
"apr";"tr";"month";"Co3";1570.5;-207.30935;232.411995
"aug";"tr";"month";"Co3";1543;178.857585;221.017735
"dec";"tr";"month";"Co3";1843.5;209.660855;176.04587
"feb";"tr";"month";"Co3";1737.5;-267.231285;174.155505
"jan";"tr";"month";"Co3";1800.5;-259.89562;161.13747
"jul";"tr";"month";"Co3";1511.5;-4.3156108;220.37257
"jun";"tr";"month";"Co3";1448;-73.40714;230.44522
"mar";"tr";"month";"Co3";1570.5;-237.958915;221.02469
"may";"tr";"month";"Co3";1539.5;-232.49276;208.683915
"nov";"tr";"month";"Co3";1759;192.88986;186.57787
"oct";"tr";"month";"Co3";1707;234.253745;197.570115
"sep";"tr";"month";"Co3";1682;219.15176;195.07799
"apr";"hd";"crazy";"Co4";1833;104.767925;86.808115
"aug";"hd";"crazy";"Co4";1853.5;27.5913025;-19.6860144
"dec";"hd";"crazy";"Co4";1909.5;-105.67702;-177.42919
"feb";"hd";"crazy";"Co4";1814;96.2304475;275.296365
"jan";"hd";"crazy";"Co4";1719;-16.39932;319.54925
"jul";"hd";"crazy";"Co4";1974.5;-248.338125;45.12203
"jun";"hd";"crazy";"Co4";1863;-134.819165;194.107185
"mar";"hd";"crazy";"Co4";1799.5;35.9585985;173.74738
"may";"hd";"crazy";"Co4";1828.5;-161.395355;233.736205
"nov";"hd";"crazy";"Co4";1873;-249.582415;-137.29305
"oct";"hd";"crazy";"Co4";1818.5;214.01298;-147.604595
"sep";"hd";"crazy";"Co4";1790.5;344.77434;18.452042
"apr";"str";"crazy";"Co4";1732.5;-77.728835;114.615635
"aug";"str";"crazy";"Co4";1754.5;-123.247733;-18.948796
"dec";"str";"crazy";"Co4";1859;-193.464655;-174.22246
"feb";"str";"crazy";"Co4";1750;-138.80135;257.57107
"jan";"str";"crazy";"Co4";1727.5;-225.416705;319.59613
"jul";"str";"crazy";"Co4";2039;-320.52872;28.4717545
"jun";"str";"crazy";"Co4";1878.5;-211.62411;171.98294
"mar";"str";"crazy";"Co4";1763.5;-127.469583;159.6309
"may";"str";"crazy";"Co4";1873.5;-333.44693;219.845465
"nov";"str";"crazy";"Co4";1909.5;-336.60506;-154.49651
"oct";"str";"crazy";"Co4";1702;59.0884;-168.453245
"sep";"str";"crazy";"Co4";1694;143.539853;11.512331
"apr";"tr";"crazy";"Co4";1804;-25.06352;106.520149
"aug";"tr";"crazy";"Co4";1772.5;-39.7592515;-12.466694
