"m";"condition";"task";"participant";"z";"X";"y"
"jul";"hd";"crazy";"Co3";1841;121.597929;183.7158575
"jun";"hd";"crazy";"Co3";1826.25;125.2944435;236.1914025
"mar";"hd";"crazy";"Co3";1827;241.1744075;261.638345
"may";"hd";"crazy";"Co3";1838.5;163.1199;244.489635
"nov";"hd";"crazy";"Co3";1831;148.12291875;111.5443375
"oct";"hd";"crazy";"Co3";1834.25;348.75916;127.1565285
"sep";"hd";"crazy";"Co3";1858.75;360.56671;180.8985425
"apr";"str";"crazy";"Co3";1638.25;-166.498555;248.61119
"aug";"str";"crazy";"Co3";1578.25;-156.0820425;182.18543
"dec";"str";"crazy";"Co3";1630.5;-219.89889;134.98761
"feb";"str";"crazy";"Co3";1568.5;-155.8467125;319.936505
"jan";"str";"crazy";"Co3";1644.75;-230.8906925;386.2541725
"jul";"str";"crazy";"Co3";1666;-234.44564;221.229595
"jun";"str";"crazy";"Co3";1675.75;-266.9100275;263.260835
"mar";"str";"crazy";"Co3";1584.75;-151.793341;301.0680675
"may";"str";"crazy";"Co3";1663.5;-206.04506;261.4082475
"nov";"str";"crazy";"Co3";1643.5;-209.180625;141.36984
"oct";"str";"crazy";"Co3";1509.5;-104.88986825;153.4197
"sep";"str";"crazy";"Co3";1504;-96.1253625;228.8857
"apr";"tr";"crazy";"Co3";1567.75;-194.2843625;260.105335
"aug";"tr";"crazy";"Co3";1553.5;-200.4087025;199.7531025
"dec";"tr";"crazy";"Co3";1576.75;-282.74496;153.6276625
"feb";"tr";"crazy";"Co3";1559.75;-204.3127475;327.5965275
"jan";"tr";"crazy";"Co3";1586;-279.9714975;367.4873425
"jul";"tr";"crazy";"Co3";1632.5;-280.57367;225.1813725
"jun";"tr";"crazy";"Co3";1592.75;-279.7848025;280.84197
"mar";"tr";"crazy";"Co3";1555.75;-224.9512975;297.037265
"may";"tr";"crazy";"Co3";1589.75;-256.72881;281.55316
"nov";"tr";"crazy";"Co3";1591.75;-246.01706;173.2311675
"oct";"tr";"crazy";"Co3";1470.75;-131.802577;169.5867725
"sep";"tr";"crazy";"Co3";1465;-137.30302;242.9179625
"apr";"hd";"month";"Co3";1609;247.10596;202.70718
"aug";"hd";"month";"Co3";1964.5;564.80827;179.0016675
"dec";"hd";"month";"Co3";2170.25;306.81779;154.4100325
"feb";"hd";"month";"Co3";1733.25;95.0903475;189.394335
"jan";"hd";"month";"Co3";1845;28.54864975;163.44288
"jul";"hd";"month";"Co3";1829.25;509.68825;190.3903125
"jun";"hd";"month";"Co3";1782.25;509.459875;202.6381325
"mar";"hd";"month";"Co3";1616.75;251.1762775;179.760175
"may";"hd";"month";"Co3";1608.75;327.5379325;206.6567875
"nov";"hd";"month";"Co3";2098.5;436.48945;165.635405
"oct";"hd";"month";"Co3";2113.25;447.28891;166.525015
"sep";"hd";"month";"Co3";2098.5;445.9178525;151.2080475
"apr";"str";"month";"Co3";1598.5;-263.77534;152.9681725
"aug";"str";"month";"Co3";1480;291.129605;175.5769675
"dec";"str";"month";"Co3";1868.75;261.7534975;167.0547175
"feb";"str";"month";"Co3";1788;-280.7799025;111.59728875
"jan";"str";"month";"Co3";1893.33333333333;-253.891396666667;123.49085
"jul";"str";"month";"Co3";1438.75;50.830045675;201.830595
"jun";"str";"month";"Co3";1464.75;-34.37903225;173.8181725
"mar";"str";"month";"Co3";1596;-271.27817;160.304721
"may";"str";"month";"Co3";1445.25;-168.12668;187.6264025
"nov";"str";"month";"Co3";1809;286.8808725;154.3991925
"oct";"str";"month";"Co3";1718.75;296.87103;152.68900875
"sep";"str";"month";"Co3";1609;271.57995;176.82824
"apr";"tr";"month";"Co3";1550.5;-208.835015;222.2985225
"aug";"tr";"month";"Co3";1546.25;181.400055;235.02525
"dec";"tr";"month";"Co3";1852.75;211.9298;179.855675
"feb";"tr";"month";"Co3";1720.5;-278.701965;169.74871
"jan";"tr";"month";"Co3";1815.75;-260.21776;158.050969
"jul";"tr";"month";"Co3";1492.5;-0.2261829;229.2000375
"jun";"tr";"month";"Co3";1462;-65.65162775;221.029885
"mar";"tr";"month";"Co3";1591;-242.814205;212.96047
"may";"tr";"month";"Co3";1529.75;-220.86665;206.54825
"nov";"tr";"month";"Co3";1746.5;179.5826625;193.3291675
"oct";"tr";"month";"Co3";1711.5;250.99131;205.0855375
"sep";"tr";"month";"Co3";1709.5;221.0985525;193.2579625
"apr";"hd";"crazy";"Co4";1843.25;98.07176;86.378725
"aug";"hd";"crazy";"Co4";1872.25;49.325252625;-17.76222195
"dec";"hd";"crazy";"Co4";1902.25;-93.87984875;-158.59287625
"feb";"hd";"crazy";"Co4";1809.5;95.853147625;275.750945
"jan";"hd";"crazy";"Co4";1721.5;-17.921079675;324.19656
"jul";"hd";"crazy";"Co4";1967.75;-254.4394575;44.53286575
"jun";"hd";"crazy";"Co4";1863;-137.6221325;191.0020375
"mar";"hd";"crazy";"Co4";1806.75;27.26527625;178.83452
"may";"hd";"crazy";"Co4";1826.5;-175.5834925;235.4872
"nov";"hd";"crazy";"Co4";1858.25;-241.4817375;-135.5585835
"oct";"hd";"crazy";"Co4";1823.75;211.6753875;-141.79932
"sep";"hd";"crazy";"Co4";1800.5;345.0053175;5.960201
"apr";"str";"crazy";"Co4";1735.5;-73.92119875;111.6329
