"m";"task";"participant";"angularShift"
"nov";"month";"Sa22";" 44.69174182"
"dec";"month";"Sa22";" 45.22546507"
"jan";"crazy";"Sa22";" 30.96093690"
"feb";"crazy";"Sa22";" 33.41366138"
"mar";"crazy";"Sa22";" 29.91985720"
"apr";"crazy";"Sa22";" 29.53871890"
"may";"crazy";"Sa22";" 22.35719187"
"jun";"crazy";"Sa22";" 18.03758923"
"jul";"crazy";"Sa22";" 17.70638758"
"aug";"crazy";"Sa22";" 37.35038393"
"sep";"crazy";"Sa22";" 38.10686860"
"oct";"crazy";"Sa22";" 33.82356826"
"nov";"crazy";"Sa22";" 17.55148932"
"dec";"crazy";"Sa22";" 16.32300735"
"jan";"month";"Sa23";" 53.62203062"
"feb";"month";"Sa23";" 59.22605400"
"mar";"month";"Sa23";" 53.79599481"
"apr";"month";"Sa23";" 55.98163600"
"may";"month";"Sa23";" 54.26704716"
"jun";"month";"Sa23";" 59.01424159"
"jul";"month";"Sa23";" 61.29857360"
"aug";"month";"Sa23";" 54.08355487"
"sep";"month";"Sa23";" 45.66556479"
"oct";"month";"Sa23";" 49.42975709"
"nov";"month";"Sa23";" 47.66516503"
"dec";"month";"Sa23";" 63.69732069"
"jan";"crazy";"Sa23";"  3.68059476"
"feb";"crazy";"Sa23";"  9.68125432"
"mar";"crazy";"Sa23";"  9.57851643"
"apr";"crazy";"Sa23";" 10.26456410"
"may";"crazy";"Sa23";" 13.58326419"
"jun";"crazy";"Sa23";" 14.40127693"
"jul";"crazy";"Sa23";"  5.49052913"
"aug";"crazy";"Sa23";" 10.30843490"
"sep";"crazy";"Sa23";"  0.86548588"
"oct";"crazy";"Sa23";"  1.03961733"
"nov";"crazy";"Sa23";"  6.23555550"
"dec";"crazy";"Sa23";"  9.50843163"
"jan";"month";"Sa24";" 16.89462802"
"feb";"month";"Sa24";" 56.78861848"
"mar";"month";"Sa24";" 30.07059616"
"apr";"month";"Sa24";" 28.79115563"
"may";"month";"Sa24";" 35.05082569"
"jun";"month";"Sa24";"  9.36932602"
"jul";"month";"Sa24";" 19.13255331"
"aug";"month";"Sa24";" 23.68869513"
"sep";"month";"Sa24";"  3.92435000"
"oct";"month";"Sa24";" 12.31540767"
"nov";"month";"Sa24";" 22.41464094"
"dec";"month";"Sa24";" 17.16450005"
"jan";"crazy";"Sa24";"  5.73686835"
"feb";"crazy";"Sa24";" 12.27108290"
"mar";"crazy";"Sa24";" 11.44004167"
"apr";"crazy";"Sa24";"  6.09441748"
"may";"crazy";"Sa24";" 12.53600248"
"jun";"crazy";"Sa24";"  1.62854034"
"jul";"crazy";"Sa24";"  1.77969531"
"aug";"crazy";"Sa24";"  4.15062257"
"sep";"crazy";"Sa24";" 10.03003477"
"oct";"crazy";"Sa24";"  7.94583428"
"nov";"crazy";"Sa24";"  6.79088873"
"dec";"crazy";"Sa24";"  9.65225165"
"jan";"month";"Sa25";"  0.46166782"
"feb";"month";"Sa25";" 10.28906000"
"mar";"month";"Sa25";" 12.59733008"
"apr";"month";"Sa25";" 35.00047971"
"may";"month";"Sa25";"  3.78669124"
"jun";"month";"Sa25";" 32.65530289"
"jul";"month";"Sa25";"  6.53312633"
"aug";"month";"Sa25";" 14.61582983"
"sep";"month";"Sa25";" 11.92580488"
"oct";"month";"Sa25";" 10.86170023"
"nov";"month";"Sa25";" 13.95702445"
"dec";"month";"Sa25";"  4.59284256"
"jan";"crazy";"Sa25";" 13.46146768"
"feb";"crazy";"Sa25";" 10.86580118"
"mar";"crazy";"Sa25";" 10.14071895"
"apr";"crazy";"Sa25";" 11.96339218"
"may";"crazy";"Sa25";" 11.23998936"
"jun";"crazy";"Sa25";"  6.42827013"
"jul";"crazy";"Sa25";"  0.07422168"
"aug";"crazy";"Sa25";" 12.85046492"
"sep";"crazy";"Sa25";" 10.20900326"
"oct";"crazy";"Sa25";" 12.36542502"
"nov";"crazy";"Sa25";"  0.74400613"
"dec";"crazy";"Sa25";"  2.38339484"
"jan";"month";"Sa26";" 17.12991991"
"feb";"month";"Sa26";" 12.84954914"
"mar";"month";"Sa26";"  9.96097134"
"apr";"month";"Sa26";"  8.40821414"
"may";"month";"Sa26";"  4.29255774"
"jun";"month";"Sa26";"  1.93160326"
"jul";"month";"Sa26";"  0.90180170"
"aug";"month";"Sa26";"  4.42890412"
"sep";"month";"Sa26";"  3.75798468"
"oct";"month";"Sa26";" 10.75017532"
"nov";"month";"Sa26";" 32.04011069"
"dec";"month";"Sa26";" 24.29590362"
