"m","z","X","y","outlier","condition","task","type","participant","rounds"
"jan",1665,-141.68594,231.32397,0,"str","mini","control","Co5","both"
"sep",1634,-170.2628,190.12677,0,"str","mini","control","Co5","both"
"feb",1665,-95.42113,211.08311,0,"str","mini","control","Co5","both"
"jun",1641,-128.24414,148.19322,0,"str","mini","control","Co5","both"
"nov",1673,-153.98846,226.62457,0,"str","mini","control","Co5","both"
"apr",1589,-52.43169,135.2186,0,"eyes","mini","control","Co5","both"
"jan",1634,-113.50853,218.50392,0,"eyes","mini","control","Co5","both"
"jul",1603,-158.68094,155.89706,0,"eyes","mini","control","Co5","both"
"may",1581,-46.676357,118.063774,0,"eyes","mini","control","Co5","both"
"aug",1611,-151.07956,176.2595,0,"eyes","mini","control","Co5","both"
"dec",1657,-129.49455,210.0689,0,"eyes","mini","control","Co5","both"
"feb",1649,-45.820225,197.59964,0,"eyes","mini","control","Co5","both"
"sep",1618,-168.5956,143.30624,0,"eyes","mini","control","Co5","both"
"jun",1634,-104.99536,107.833084,0,"eyes","mini","control","Co5","both"
"oct",1657,-152.51578,198.55829,0,"eyes","mini","control","Co5","both"
"mar",1657,-43.16485,152.51578,0,"eyes","mini","control","Co5","both"
"nov",1665,-159.03525,199.51692,0,"eyes","mini","control","Co5","both"
"jan",1992,-79.56709,473.94327,0,"tr","mini","control","Co6","both"
"may",2140,249.0033,-130.07637,0,"tr","mini","control","Co6","both"
"mar",2127,114.51067,328.75616,0,"tr","mini","control","Co6","both"
"sep",1814,-456.7954,69.30687,0,"tr","mini","control","Co6","both"
"feb",2101,10.946182,426.90213,0,"tr","mini","control","Co6","both"
"oct",1853,-476.2704,254.2254,0,"tr","mini","control","Co6","both"
"aug",1814,-343.38412,-75.60754,0,"tr","mini","control","Co6","both"
"nov",1863,-388.2492,404.42624,0,"tr","mini","control","Co6","both"
"jun",1853,19.308332,-318.5863,0,"tr","mini","control","Co6","both"
"dec",1873,-243.95825,465.14703,0,"tr","mini","control","Co6","both"
"jul",1715,-208.48683,-324.64386,0,"tr","mini","control","Co6","both"
"apr",2167,206.98462,206.98457,0,"tr","mini","control","Co6","both"
"dec",1833,-257.8481,455.2133,0,"hd","mini","control","Co6","both"
"jul",1681,-262.7403,-370.75577,0,"hd","mini","control","Co6","both"
"mar",1873,243.95825,393.5859,0,"hd","mini","control","Co6","both"
"aug",1873,-452.13593,-139.8694,0,"hd","mini","control","Co6","both"
"apr",1833,305.59784,206.91513,0,"hd","mini","control","Co6","both"
"feb",1873,94.330574,478.1581,0,"hd","mini","control","Co6","both"
"oct",1853,-424.78168,202.73671,0,"hd","mini","control","Co6","both"
"jan",1843,-6.4013166,483.30212,0,"hd","mini","control","Co6","both"
"nov",1873,-461.89423,302.5082,0,"hd","mini","control","Co6","both"
"may",1833,321.51437,-168.7155,0,"hd","mini","control","Co6","both"
"sep",1873,-510.68588,94.330475,0,"hd","mini","control","Co6","both"
"jun",1824,15.8384,-414.9662,0,"hd","mini","control","Co6","both"
"aug",2003,-417.4252,-52.17815,0,"str","mini","control","Co6","both"
"may",1883,300.8532,-153.69682,0,"str","mini","control","Co6","both"
"dec",2003,-260.89075,511.34583,0,"str","mini","control","Co6","both"
"oct",2027,-468.18967,179.53137,0,"str","mini","control","Co6","both"
"apr",2088,413.3823,199.43877,0,"str","mini","control","Co6","both"
"jul",1741,-305.3772,-359.8009,0,"str","mini","control","Co6","both"
"mar",2015,237.95804,402.42905,0,"str","mini","control","Co6","both"
"jan",1992,-65.72935,522.37537,0,"str","mini","control","Co6","both"
"sep",2003,-493.9531,69.57085,0,"str","mini","control","Co6","both"
"feb",2003,146.09885,448.73206,0,"str","mini","control","Co6","both"
"jun",1804,62.65893,-435.47964,0,"str","mini","control","Co6","both"
"nov",1992,-373.61948,435.8894,0,"str","mini","control","Co6","both"
"apr",1992,359.7818,259.45795,0,"eyes","mini","control","Co6","both"
"jan",2015,94.483376,489.91364,0,"eyes","mini","control","Co6","both"
"jul",1732,-276.7274,-345.90933,0,"eyes","mini","control","Co6","both"
"may",1915,342.5488,-242.77742,0,"eyes","mini","control","Co6","both"
"dec",1969,-273.55972,447.95407,0,"eyes","mini","control","Co6","both"
"feb",1936,107.59,426.99768,0,"eyes","mini","control","Co6","both"
"sep",2027,-394.26495,-24.64159,0,"eyes","mini","control","Co6","both"
"jun",1833,89.13265,-385.18054,0,"eyes","mini","control","Co6","both"
"oct",2003,-438.29648,86.96355,0,"eyes","mini","control","Co6","both"
"mar",1958,187.02164,391.0452,0,"eyes","mini","control","Co6","both"
"nov",2063,-322.4469,372.60526,0,"eyes","mini","control","Co6","both"
"jan",1873,-139.86937,403.3443,0,"tr","mini","control","Co7","both"
"may",1853,106.195404,-96.5413,0,"tr","mini","control","Co7","both"
"mar",1873,-35.780556,292.74985,0,"tr","mini","control","Co7","both"
"sep",1873,-478.1581,126.85826,0,"tr","mini","control","Co7","both"
"feb",1853,-3.2180555,389.38318,0,"tr","mini","control","Co7","both"
"oct",1894,-480.23,187.48701,0,"tr","mini","control","Co7","both"
"aug",1853,-460.18018,-99.759384,0,"tr","mini","control","Co7","both"
"nov",1853,-341.1126,344.33063,0,"tr","mini","control","Co7","both"
"jun",1777,27.774557,-287.0033,0,"tr","mini","control","Co7","both"
"dec",1863,-249.12653,407.66162,0,"tr","mini","control","Co7","both"
"jul",1843,-297.6629,-188.83997,0,"tr","mini","control","Co7","both"
"apr",1894,108.54511,217.09026,0,"tr","mini","control","Co7","both"
"dec",1915,-286.01163,382.45737,0,"hd","mini","control","Co7","both"
"jul",1947,-324.60385,-185.97101,0,"hd","mini","control","Co7","both"
"mar",1853,157.68417,238.13516,0,"hd","mini","control","Co7","both"
"aug",1883,-428.3888,-107.914764,0,"hd","mini","control","Co7","both"
"apr",1863,284.71606,16.176989,0,"hd","mini","control","Co7","both"
"feb",1833,108.23259,308.78104,0,"hd","mini","control","Co7","both"
