"m";"task";"participant";"angularShift"
"jul";"crazy";"Sa21";"  6.81995577"
"aug";"crazy";"Sa21";"  3.20516423"
"sep";"crazy";"Sa21";" 13.35536920"
"oct";"crazy";"Sa21";"  9.45706406"
"nov";"crazy";"Sa21";"  5.83199050"
"dec";"crazy";"Sa21";"  2.50599155"
"jan";"month";"Sa22";"  1.82952128"
"feb";"month";"Sa22";" 17.48054037"
"mar";"month";"Sa22";"  3.87151454"
"apr";"month";"Sa22";"  2.21360594"
"may";"month";"Sa22";"  1.08274298"
"jun";"month";"Sa22";"  0.46436166"
"jul";"month";"Sa22";"  6.22103476"
"aug";"month";"Sa22";"  7.11358121"
"sep";"month";"Sa22";"  0.15311136"
"oct";"month";"Sa22";"  1.92284313"
"nov";"month";"Sa22";"  1.10586913"
"dec";"month";"Sa22";"  1.65336646"
"jan";"crazy";"Sa22";"  1.84741760"
"feb";"crazy";"Sa22";"  3.42773634"
"mar";"crazy";"Sa22";"  1.15700694"
"apr";"crazy";"Sa22";"  3.97505920"
"may";"crazy";"Sa22";"  5.11824249"
"jun";"crazy";"Sa22";"  2.84344568"
"jul";"crazy";"Sa22";"  5.54303186"
"aug";"crazy";"Sa22";"  4.59246339"
"sep";"crazy";"Sa22";"  3.15496341"
"oct";"crazy";"Sa22";"  1.24030984"
"nov";"crazy";"Sa22";"  5.66961997"
"dec";"crazy";"Sa22";"  4.39138084"
"jan";"month";"Sa23";"  2.33533209"
"feb";"month";"Sa23";" 10.69131660"
"mar";"month";"Sa23";" 17.90484724"
"apr";"month";"Sa23";" 16.50032269"
"may";"month";"Sa23";" 23.93350145"
"jun";"month";"Sa23";" 34.22333287"
"jul";"month";"Sa23";" 34.71720596"
"aug";"month";"Sa23";"  8.68389676"
"sep";"month";"Sa23";"  4.07134325"
"oct";"month";"Sa23";"  4.26562524"
"nov";"month";"Sa23";"  6.88283601"
"dec";"month";"Sa23";"  0.17615106"
"jan";"crazy";"Sa23";"  5.38746854"
"feb";"crazy";"Sa23";"  0.14152103"
"mar";"crazy";"Sa23";"  0.61651349"
"apr";"crazy";"Sa23";"  1.31717980"
"may";"crazy";"Sa23";"  4.40639527"
"jun";"crazy";"Sa23";"  1.78672488"
"jul";"crazy";"Sa23";"  2.02803644"
"aug";"crazy";"Sa23";"  0.74731322"
"sep";"crazy";"Sa23";"  2.35896707"
"oct";"crazy";"Sa23";"  0.15914816"
"nov";"crazy";"Sa23";"  2.63866553"
"dec";"crazy";"Sa23";"  0.67509671"
"jan";"month";"Sa24";" 87.76769872"
"feb";"month";"Sa24";" 21.19362868"
"mar";"month";"Sa24";" 11.51532932"
"apr";"month";"Sa24";" 25.31550120"
"may";"month";"Sa24";" 26.90718215"
"jun";"month";"Sa24";" 30.58235075"
"jul";"month";"Sa24";" 38.92026753"
"aug";"month";"Sa24";" 51.61000612"
"sep";"month";"Sa24";" 53.34167297"
"oct";"month";"Sa24";" 57.51114637"
"nov";"month";"Sa24";" 69.99930644"
"dec";"month";"Sa24";" 83.90265032"
"jan";"crazy";"Sa24";" 19.68866103"
"feb";"crazy";"Sa24";" 27.88270321"
"mar";"crazy";"Sa24";" 35.74854758"
"apr";"crazy";"Sa24";" 27.82408498"
"may";"crazy";"Sa24";" 22.46761691"
"jun";"crazy";"Sa24";" 15.43500161"
"jul";"crazy";"Sa24";" 22.51187694"
"aug";"crazy";"Sa24";" 28.28479773"
"sep";"crazy";"Sa24";" 31.49611356"
"oct";"crazy";"Sa24";" 31.05454015"
"nov";"crazy";"Sa24";" 21.55629364"
"dec";"crazy";"Sa24";" 18.77519001"
"jan";"month";"Sa25";" 80.22480554"
"feb";"month";"Sa25";" 86.97353479"
"mar";"month";"Sa25";" 86.25324446"
"apr";"month";"Sa25";" 99.97319153"
"may";"month";"Sa25";" 58.57286153"
"jun";"month";"Sa25";" 39.62070998"
"jul";"month";"Sa25";" 51.48104478"
"aug";"month";"Sa25";" 70.63803392"
"sep";"month";"Sa25";" 67.49120385"
"oct";"month";"Sa25";" 82.99533979"
"nov";"month";"Sa25";" 88.32548865"
"dec";"month";"Sa25";" 94.45466798"
"jan";"crazy";"Sa25";" 62.12654250"
"feb";"crazy";"Sa25";" 73.56305096"
"mar";"crazy";"Sa25";" 80.24196906"
"apr";"crazy";"Sa25";" 72.67107853"
"may";"crazy";"Sa25";" 78.34404459"
"jun";"crazy";"Sa25";" 66.59004558"
"jul";"crazy";"Sa25";" 71.47067953"
"aug";"crazy";"Sa25";" 63.03385450"
"sep";"crazy";"Sa25";" 95.41012679"
"oct";"crazy";"Sa25";" 89.17809421"
"nov";"crazy";"Sa25";" 68.12096861"
"dec";"crazy";"Sa25";" 67.51511277"
"jan";"month";"Sa26";" 32.55652888"
"feb";"month";"Sa26";" 27.24857629"
"mar";"month";"Sa26";" 31.51673153"
"apr";"month";"Sa26";" 41.33375479"
"may";"month";"Sa26";" 35.99031223"
"jun";"month";"Sa26";" 46.79323450"
"jul";"month";"Sa26";" 41.02475009"
"aug";"month";"Sa26";" 40.49936590"
"sep";"month";"Sa26";" 28.58128803"
"oct";"month";"Sa26";" 20.96030695"
"nov";"month";"Sa26";" 40.37984438"
"dec";"month";"Sa26";" 45.20715593"
