participant;m;type;rounds;condition;z.mini;x.mini;y.mini;z.month;x.month;y.month;dist
Sa7;feb;synaesthete;both;str;1641;-37.048286;139.64362;1611;-138.58251125;30.0182455;152.403811078933
Sa7;jan;synaesthete;both;str;1626;-5.647608;115.77659;1640.75;-79.43163175;-11.0717275;147.486068200767
Sa7;jul;synaesthete;both;str;1673;31.959942;264.39532;1716;28.1700705;205.4537275;73.0580211367826
Sa7;jun;synaesthete;both;str;1690;14.674833;243.6022;1689;-100.480918;281.692515;121.295997811854
Sa7;mar;synaesthete;both;str;1673;-55.20341;165.61023;1663.25;-170.9765625;86.56281175;140.523946969115
Sa7;may;synaesthete;both;str;1657;-40.28718;221.57956;1733.5;-171.52361;202.1575;153.141983054251
Sa7;nov;synaesthete;both;str;1603;108.57123;125.27441;1623;286.5591475;-45.8584565;247.72193437904
Sa7;oct;synaesthete;both;str;1596;102.55366;169.07487;1642.25;354.90957;114.2426782;262.353077110828
Sa7;sep;synaesthete;both;str;1649;100.23171;209.05469;1654.5;267.322495;283.166945;182.87210496164
Sa9;apr;synaesthete;both;str;1873;175.65;-16.263914;1747.75;308.0924975;42.5365695;191.536091909257
Sa9;aug;synaesthete;both;str;1969;-61.55091;-23.936502;1853.5;-193.311825;-130.24221875;204.944124422654
Sa9;dec;synaesthete;both;str;1936;-73.96806;208.45552;1853.25;-144.9083225;295.7773225;139.660948498204
Sa9;feb;synaesthete;both;str;1824;259.7498;186.89308;1777;232.8566475;317.7934825;141.658593195225
Sa9;jan;synaesthete;both;str;1873;6.505578;250.46379;1816.25;29.899345325;356.4868425;122.510075141084
Sa9;jul;synaesthete;both;str;1915;-3.3257294;-109.74869;1772.5;27.7588975;-99.937386;146.180592814821
Sa9;jun;synaesthete;both;str;1853;28.962439;-125.50371;1759;187.5496;-97.91764375;186.405146616689
Sa9;mar;synaesthete;both;str;1863;220.00786;80.885216;1770.25;301.3863725;209.0507775;177.908504437879
Sa9;may;synaesthete;both;str;1883;183.1281;22.890982;1750;277.230205;-45.5406315;176.711889502785
Sa9;nov;synaesthete;both;str;1925;-86.92018;197.24187;1856.75;-196.9180075;249.7365425;139.689925175733
Sa9;oct;synaesthete;both;str;1958;-142.81648;44.20507;1866.25;-226.7461475;126.80658125;149.282488080298
Sa9;sep;synaesthete;both;str;1925;-110.321724;-90.263306;1843.5;-234.080075;-1.51441825;172.727370497849
